path,annotation
IMDA_TIL/audio/000010053.WAV,THE WORKERS BRAVED THROUGH SUN AND RAIN EVERY DAY JUST TO BUILD THE TUNNEL
IMDA_TIL/audio/000010054.WAV,THE COMPANY CHARTED THEIR PROFITS IN A GRAPH
IMDA_TIL/audio/000010055.WAV,I LIVE IN SINGAPORE
IMDA_TIL/audio/000010056.WAV,I AM CRAVING FOR A CHOCOLATE SPONGE CAKE TOPPED WITH MINT MOUSSE
IMDA_TIL/audio/000010057.WAV,A COMMA CAN CHANGE THE MEANING OF A SENTENCE ENTIRELY
IMDA_TIL/audio/000010058.WAV,THE WITCH PUT A SPELL ON THE PRINCE BUT IT WAS THE WRONG ONE
IMDA_TIL/audio/000010059.WAV,WHEN THEY WOKE UP FROM THEIR REST IT WAS ALREADY MID AFTERNOON
IMDA_TIL/audio/000010061.WAV,A MURDER HAD ALREADY BEEN PLOTTED A MONTH AGO
IMDA_TIL/audio/000010062.WAV,MARY AND HER FAMILY WERE MOVING TO ANOTHER CITY
IMDA_TIL/audio/000010063.WAV,IT IS EASY TO BOOK FLIGHTS AND HOTELS ON THE COMPUTER
IMDA_TIL/audio/000010064.WAV,YOU CAN BAKE SHORTBREAD COOKIES JUST WITH SUGAR BUTTER AND FLOUR
IMDA_TIL/audio/000010065.WAV,THE PUPPY LEFT IT PAW PRINTS ON THE SANDY SHORE
IMDA_TIL/audio/000010066.WAV,SWITZERLANDS FLAG IS A BIG PLUS
IMDA_TIL/audio/000010067.WAV,THE GIRLS EXPERIENCES GAVE HER AN EDGE OVER HER PEERS OF THE SAME AGE
IMDA_TIL/audio/000010068.WAV,THE CHILDREN WIPE THEIR NOSES ON THE TOWEL
IMDA_TIL/audio/000010071.WAV,FINISH THIS BY TOMORROW OR ELSE YOULL BE FIRED
IMDA_TIL/audio/000010072.WAV,SOON THE MENACING PACK BEGAN TO APPROACH THE POOR OUTNUMBERED FAMILY
IMDA_TIL/audio/000010073.WAV,HIS MOUSTACHE CURL IS PERFECT
IMDA_TIL/audio/000010074.WAV,IT WAS A MIRACLE THAT HE RECOVERED FROM HIS LIFE THREATENING ACCIDENT
IMDA_TIL/audio/000010075.WAV,THE VETERAN FOUGHT TO PROTECT HIS COUNTRY DURING THE WAR
IMDA_TIL/audio/000010077.WAV,SHE IS A DEEP SLEEPER
IMDA_TIL/audio/000010078.WAV,THEY FED THEIR HUNGRY STOMACHS WITH THE EGG AND HAM SANDWICHES THAT MARYS MOTHER HAD MADE
IMDA_TIL/audio/000010079.WAV,THE NEW MOVIE ABOUT FOOD PROMISES A VISUAL FEAST
IMDA_TIL/audio/000010080.WAV,PLEASE PASS YOUR EXAM ONCE AND FOR ALL
IMDA_TIL/audio/000010081.WAV,AFRAID OF GETTING BITTEN MARY HID BEHIND HER FATHER AND SCREAMED WHILE HE THREW ROCKS IN AN ATTEMPT TO SCARE THEM AWAY
IMDA_TIL/audio/000010082.WAV,THERE ARE PUMPS FOR YOUR TYRES AT THE RESTING ZONE BEFORE YOU CYCLE
IMDA_TIL/audio/000010083.WAV,THE NURSE FOLDED A PAPER JIB FOR THE LITTLE BOYS YACHT MODEL
IMDA_TIL/audio/000010084.WAV,RISING COLLEGE DEBT HAS BEEN WIDELY DISCUSSED MATTER
IMDA_TIL/audio/000010085.WAV,THE BRITISH CALLS FRIES CHIPS AND CHIPS CRISPS
IMDA_TIL/audio/000010086.WAV,HE HURT HIMSELF WHILE SLICING THE MEAT
IMDA_TIL/audio/000010087.WAV,A SMILE CAN OFTEN LIFT UP A WEARY SPIRIT
IMDA_TIL/audio/000010089.WAV,HIS GRIEF SPK HAD BECOME HIS DRIVING FORCE IN HIS CAREER
IMDA_TIL/audio/000010091.WAV,BEFORE THE INTERNET WE WROTE LETTERS TO OUR PEN PALS AND READ MAGAZINES
IMDA_TIL/audio/000010092.WAV,THE CHARITY RUN WAS HELD ON A TUESDAY
IMDA_TIL/audio/000010094.WAV,WHEN THEY REACHED THEY SAW A HUGE TREE AND SAT BENEATH THE FOLIAGE
IMDA_TIL/audio/000010095.WAV,SAKURA FLOWERS BLOOM AROUND APRIL
IMDA_TIL/audio/000010096.WAV,A DIAMOND IS NOT A WOMANS BEST FRIEND
IMDA_TIL/audio/000010097.WAV,EVERYONES HOPING TO FIND THE CURE FOR CANCER
IMDA_TIL/audio/000010098.WAV,THE FLY WAS CAUGHT IN THE SPIDERS WEB
IMDA_TIL/audio/000010100.WAV,THE LITTLE BOY SHARED HIS TOMATO WITH HIS BROTHER
IMDA_TIL/audio/000010101.WAV,HOUSEHOLDS WITH TARGETS SET WERE ENCOURAGED TO TRY KEEPING THEIR WATER CONSUMPTION BELOW THESE DESIGNATED LEVELS
IMDA_TIL/audio/000010102.WAV,SUCH A BUYOUT WOULD ALSO ADD TO APPLES SERVICES MUSCLE
IMDA_TIL/audio/000010103.WAV,BUT THE COST OF REBUILDING WITH THE MONEY PROVIDED IS BEYOND MANY FAMILIES
IMDA_TIL/audio/000010104.WAV,HE ALSO TOLD HIS CHILDREN TWO SONS AND A DAUGHTER THAT HE HAD REASONS FOR KILLING THEIR MOTHER
IMDA_TIL/audio/000010105.WAV,AND WHILE GROWTH WILL BE SLOWER THIS YEAR IT WILL STILL BE POSITIVE
IMDA_TIL/audio/000010106.WAV,ASKED IF HER FAME HAD HELPED HER BARBER BUSINESS WANG IS QUICK TO GIVE HER FRIEND WAY THE CREDIT
IMDA_TIL/audio/000010108.WAV,A SHIFT IN MINDSET NEEDS TO HAPPEN SO THAT THE PARK CONNECTORS CAN BE PROPERLY UTILISED
IMDA_TIL/audio/000010109.WAV,AS PART OF THE PROGRAMME PATIENTS SUBMIT THEIR READINGS REGULARLY FROM HOME
IMDA_TIL/audio/000010110.WAV,AND NO MATTER HOW HEINOUS THE CRIME HIS FEELINGS ABOUT ENSURING EVERYONE GETS THEIR DAY IN THE COURT HAS NOT CHANGED
IMDA_TIL/audio/000010111.WAV,THAT THE RELATIONSHIPS BUILT AMONGST EACH OTHER AS WELL AS WITH LOCAL SINGAPOREAN COMMUNITY IS SOMETHING WHICH THEY TREASURE
IMDA_TIL/audio/000010112.WAV,OTHER FEATURES INCLUDE A NATURALISED STREAM THAT WILL CHANNEL THE USED WATER FROM THE POOL INTO A DRAINAGE SYSTEM
IMDA_TIL/audio/000010113.WAV,IF STUDENTS DO NOT MEET STANDARDS THEY WERE GRADED INCOMPLETE RATHER THAN GIVE GIVEN A FAIL GRADE
IMDA_TIL/audio/000010114.WAV,BECAUSE IF EVERY SINGAPOREAN HAS ONE HE HAS A VESTED INTEREST IN THE STABILITY AND PROSPERITY OF THIS PLACE
IMDA_TIL/audio/000010115.WAV,A HUGE PROJECT CALLS FOR HUGE MACHINERY
IMDA_TIL/audio/000010116.WAV,ADVERTISING AND PROMOTION OF FRUIT MACHINES OUTSIDE THE ROOMS WILL ALSO BE BANNED
IMDA_TIL/audio/000010117.WAV,BRING WITH THEM A WEALTH OF EXPERIENCE
IMDA_TIL/audio/000010119.WAV,HE DOES NOT QUALIFY FOR THE FINAL
IMDA_TIL/audio/000010120.WAV,IT DOES ALSO SUGGEST THAT TRAFFIC CONDITIONS IN INDONESIA COULD BE IMPROVED
IMDA_TIL/audio/000010121.WAV,BUT SOME SMOKERS QUESTION WHETHER THE BAN IS REALLY EFFECTIVE
IMDA_TIL/audio/000010122.WAV,ONLY THEY CAN GET MINISTRIES TO WORK TOGETHER
IMDA_TIL/audio/000010123.WAV,BUT AT LEAST I MANAGED TO EAT A LITTLE LESS THAN HALF OF IT
IMDA_TIL/audio/000010125.WAV,AND THEN SAVE AN AMOUNT TO BUY TREATS FOR ALL MY FRIENDS FOR EVERYBODY WHO HAS SUPPORTED ME ALL ALONG
IMDA_TIL/audio/000010126.WAV,HOW IS THE RENTAL GROWTH IN THE COMMERCIAL SPACE
IMDA_TIL/audio/000010127.WAV,BUT IF CERTAIN THINGS ARE INHERENTLY DANGEROUS THEN I THINK WE GOT TO LOOK AT IT AGAIN
IMDA_TIL/audio/000010129.WAV,BUT WE HAVE PROVEN IN THE PAST THAT WE CAN ADAPT TO CHANGES WHEN THE NEED ARISES
IMDA_TIL/audio/000010130.WAV,G E DID NOT IMMEDIATELY RESPOND TO REQUESTS FOR COMMENT
IMDA_TIL/audio/000010131.WAV,HE IMMEDIATELY TOOK OFF HIS CLOTHES AND JUMPED INTO THE RIVER TO SAVE THE BOY
IMDA_TIL/audio/000010132.WAV,I DEEPLY APPRECIATED YOUR PRESENCE AT MY FATHERS FUNERAL SERVICE
IMDA_TIL/audio/000010133.WAV,MOST GOES INTO LANDFILLS OFTEN DUMP SITES OR IS JUST LEFT ON THE GROUND OFTEN CLOGGING RIVERS AND DRAINS
IMDA_TIL/audio/000010134.WAV,AS WOMEN FOCUSED ON THEIR STUDIES AND CAREERS THEY PUT OFF PLANS FOR MARRIAGE AND PARENTHOOD
IMDA_TIL/audio/000010135.WAV,AND PERHAPS WORST OF ALL YOU ARE PAYING FOR IT
IMDA_TIL/audio/000010136.WAV,ALL FOUR UNIVERSITIES ALSO SAID THAT FINANCIAL AID SCHEMES ARE AVAILABLE TO THOSE WHO NEED THEM
IMDA_TIL/audio/000010137.WAV,AND YES ITS BEEN A DECADE SINCE THIS SHOW
IMDA_TIL/audio/000010139.WAV,FOUR OTHER SHIPS SET SAIL BUT HIS WAS THE ONLY ONE THAT MADE IT SAFELY
IMDA_TIL/audio/000010140.WAV,ITS CLEAN AND NICE AND NEAR MY SISTERS HOUSE
IMDA_TIL/audio/000010141.WAV,THE FIRST ARCHAEOLOGICAL DIG AND MOST OTHER FORTHCOMING DIGS WAS A HODGEPODGE OF RATHER DISPARATE RESOURCES
IMDA_TIL/audio/000010142.WAV,YOU CAN ALMOST FEEL THE SENSE OF SURPRISE FROM SOME OF THE NEWS SITES
IMDA_TIL/audio/000010143.WAV,IT ALSO SAID SINGAPORE IS NOT IN THE LEAGUE OF MAJOR DONOR COUNTRIES AND DOES NOT ASPIRE TO BE ONE
IMDA_TIL/audio/000010144.WAV,TAN REACHED OUT TO THEM PRIVATELY THROUGH FACEBOOK MESSENGER TO INFORM THEM ABOUT WHAT HAD HAPPENED
IMDA_TIL/audio/000010145.WAV,BECAUSE THE APP WAS FOUND TO BE SORELY LACKING IN THE ACTUALLY WORKING DEPARTMENT
IMDA_TIL/audio/000010146.WAV,HE ADDED THAT HE WILL BE USING FACEBOOK TO PUT UP HIS VIEWS AND ENGAGE VOTERS
IMDA_TIL/audio/000010147.WAV,AFTER DISPUTING OVER THE ASSETS OF THEIR DECEASED PARENTS BROTHERS AND SISTERS ARE STILL BOUND BY FAMILIAL TIES
IMDA_TIL/audio/000010149.WAV,AND YOU COULDNT EVEN COMPLAIN ABOUT THE LONG WAIT ON SOCIAL MEDIA
IMDA_TIL/audio/000010150.WAV,THE VICTIM AGREED AS SHE HAD PLANNED TO RUN AWAY FROM HOME DUE TO FAMILY PROBLEMS
IMDA_TIL/audio/000010151.WAV,BUT FOR MOBILE USERS WHO WANT TO KNOW HOW TO BETTER MANAGE DATA USAGE WE OFFERED FIVE TIPS
IMDA_TIL/audio/000010152.WAV,I BOUGHT LESS THIS YEAR
IMDA_TIL/audio/000010153.WAV,BECAUSE AFTER SPK ALL IT IS ONE OF THE BEST STEAKHOUSES IN SINGAPORE RIGHT
IMDA_TIL/audio/000010155.WAV,CAPTURING THE RURAL MALAY MUSLIM VOTE A KEY DEMOGRAPHIC IS CRUCIAL TO WINNING THE ELECTION
IMDA_TIL/audio/000010156.WAV,ITS NOT THE FIRST TIME TESLA HAS TAKEN THIS STANCE
IMDA_TIL/audio/000010157.WAV,LIKE FOOTBALL NOTHING BEATS WATCHING A LIVE PERFORMANCE THAN READING A REPORT
IMDA_TIL/audio/000010158.WAV,BUT IT WAS A GREAT HELP
IMDA_TIL/audio/000010159.WAV,FINANCIAL LITERACY IS A CRITICAL LIFE SKILL TODAY
IMDA_TIL/audio/000010160.WAV,INDIA HAS BEEN VERY MUCH A PART OF SINGAPORES HISTORY
IMDA_TIL/audio/000010161.WAV,FOX CAN CONTINUE IN THE BUSINESS FOR A LONG TIME
IMDA_TIL/audio/000010162.WAV,IF THE SAME CAN BE EXTENDED TO THE OTHER LISTED COMPANIES THAT WOULD BE A MAJOR STEP FORWARD
IMDA_TIL/audio/000010163.WAV,BUT I CANT HELP FEELING LIKE AN EMPTY DUBAI SKYSCRAPER
IMDA_TIL/audio/000010164.WAV,IT CAN ACCOMMODATE A VARIETY OF TRADITIONAL AND ALTERNATIVE ASSET CLASSES AND INVESTMENT STRATEGIES
IMDA_TIL/audio/000010165.WAV,SOMETIMES WE CHAT UNTIL WE FORGET THE TIME
IMDA_TIL/audio/000010166.WAV,COUPLED WITH THE SERVICE LEVEL WE ARE ABLE TO PROVIDE
IMDA_TIL/audio/000010167.WAV,IT HAS ALSO PREDICTABLY SPARKED A SURGE IN SALES FOR THE SEX TOY INDUSTRY
IMDA_TIL/audio/000010168.WAV,BUT TO MAINTAIN ITS ECONOMIC HEALTH THE GOVERNMENT NEEDS TO QUICKLY RESOLVE THIS IMPASSE WITH THE HEDGE FUNDS
IMDA_TIL/audio/000010169.WAV,HE WONDERED IF IT WOULD ACTUALLY BE SPK EFFECTIVE IN GETTING PEOPLE TO PATRONISE THE RESTAURANT
IMDA_TIL/audio/000010170.WAV,FOR MANY PARENTS THE OCCASIONAL QUARREL WITH THEIR CHILDREN IS PART OF FAMILY LIFE
IMDA_TIL/audio/000010172.WAV,SHE EXPLAINED THAT THESE A I AND MACHINE LEARNING TOOLS CAN ACT AS A SENSOR TO DETECT FAKE NEWS
IMDA_TIL/audio/000010173.WAV,AS A FORMER CHIEF OF DEFENCE FORCE I KNOW HIS HEART IS IN THE RIGHT PLACE
IMDA_TIL/audio/000010174.WAV,HAVING TO WAIT AFTER THE TEDIOUS PROCESS IS FRUSTRATING
IMDA_TIL/audio/000010175.WAV,HOOD BAR AND CAFE IS ALSO FAMOUS FOR ITS BEAUTIFUL ART DECOR FEATURING FUNKY AND STREET ART ON ITS WALLS
IMDA_TIL/audio/000010176.WAV,IT REVEALS THAT THE INVESTIGATIONS HAVE REACHED A CRITICAL STAGE WITH A HIGHER LEVEL OF URGENCY AND SENSITIVITY
IMDA_TIL/audio/000010177.WAV,AS FOR THE STUFF THATS FOUND
IMDA_TIL/audio/000010178.WAV,BUT WE HOPE TO TAKE THESE EFFORTS EVEN FURTHER AND POTENTIALLY EVEN GO INTO DEVELOPING PREVENTIVE VACCINES
IMDA_TIL/audio/000010179.WAV,AND YOU FEEL GUILTY FOR PIGGING OUT
IMDA_TIL/audio/000010180.WAV,THE CROATIAN KUNA EDGED DOWN ON THE LOCAL PLATFORM WHILE BOND YIELDS WERE UNCHANGED
IMDA_TIL/audio/000010181.WAV,BECAUSE OF THIS WE WERE A CLOSELY KNIT GROUP
IMDA_TIL/audio/000010182.WAV,FOREIGN FIGHTERS HAVE CONTRIBUTED SIGNIFICANTLY TO THE TERRORIST GROUPS RANKS IN RECENT YEARS
IMDA_TIL/audio/000010183.WAV,HE IS STARTING AN UNDERGRADUATE COURSE IN CONSTRUCTION STUDIES AT THE END OF THE NEXT MONTH
IMDA_TIL/audio/000010184.WAV,THE SKELETON ONCE PROCESSED WILL BE DISPLAYED AT THE MUSEUM
IMDA_TIL/audio/000010185.WAV,AT SOME DENS LIKE THE ONE IN PETAIN ROAD CARD AND TABLE GAMES ARE NOT ALLOWED
IMDA_TIL/audio/000010186.WAV,IT NOTED THAT THE HEPATITIS C OUTBREAK HAS HIGHLIGHTED A GAP IN THE CURRENT SYSTEM
IMDA_TIL/audio/000010187.WAV,HE ADDED THAT THE NEED FOR SUCH SERVICES ARE VERY REAL DUE TO THE NATIONS AGEING POPULATION
IMDA_TIL/audio/000010188.WAV,BUT MISTER CHEN REPLIED THAT DEVELOPERS ARE ALREADY REQUIRED TO ADDRESS DEFECTS WITHIN A MONTH
IMDA_TIL/audio/000010189.WAV,I WANT TO FOCUS ON JUST ONE ASPECT THAT I THINK IS MOST GERMANE TO THE SUBJECT OF OUR DISCUSSION
IMDA_TIL/audio/000010191.WAV,LITTLE RED ANTS DID NOT WISH TO COMMENT WHEN CONTACTED
IMDA_TIL/audio/000010192.WAV,ANOTHER EYE WITNESS WHO DECLINED TO BE NAMED
IMDA_TIL/audio/000010194.WAV,MEN MAY FEEL PRESSURED TO POSITION THEMSELVES AS THE MAIN BREADWINNER SO THAT THEY ARE NOT VIEWED AS FEMININE
IMDA_TIL/audio/000010195.WAV,BUT THE WAY IN WHICH THEYRE TRAINED CHANGES OF COURSE
IMDA_TIL/audio/000010197.WAV,A P P DID NOT IMMEDIATELY COMMENT
IMDA_TIL/audio/000010198.WAV,SHE DECLINED TO BE TAKEN TO THE HOSPITAL
IMDA_TIL/audio/000010199.WAV,ANYTHING FREE WILL COME WITH A PRICE TAG ATTACHED SOMEHOW
IMDA_TIL/audio/000010200.WAV,A HONEYMOON IS SUPPOSED TO BE A GATEWAY
IMDA_TIL/audio/000010201.WAV,OUTSIDE HE SAW THICK BLACK SMOKE BILLOWING OUT OF THE UNIT
IMDA_TIL/audio/000010202.WAV,BUT NOT ALL PARENTS ARE AGAINST THE PENALTIES
IMDA_TIL/audio/000010203.WAV,AFTERWARDS THEY PEPPERED HIM WITH QUESTIONS ABOUT THE ECONOMY HIS WORST INVESTMENT DECISION AND EVEN ASKED FOR INVESTMENT ADVICE
IMDA_TIL/audio/000010204.WAV,CLEARLY THE VANDAL IS NOT A RULING PARTY SUPPORTER
IMDA_TIL/audio/000010205.WAV,IN THE MIDST OF THE DEBATE GEORGE REVEALED WHAT COMPELLED HIM TO ENTER POLITICS
IMDA_TIL/audio/000010206.WAV,WE ARE CONFIDENT THAT THIS SITUATION WILL BE RESOLVED SOON
IMDA_TIL/audio/000010207.WAV,AS USUAL SINGAPOREANS ARE NOT TAKING THE CANCELLATION WELL
IMDA_TIL/audio/000010208.WAV,A PREVIOUS SCHOOL BUS OPERATOR HAD SOME FOREIGN DRIVERS WHO IT WAS DIFFICULT TO COMMUNICATE WITH
IMDA_TIL/audio/000010209.WAV,AND OF COURSE YOUD PREFER A MORE CURRENT READING THAN ONE BASED ON THE PAST FEW HOURS RIGHT
IMDA_TIL/audio/000010210.WAV,BEING WITH OTHER RECOVERING ALCOHOLICS HELPED TOO
IMDA_TIL/audio/000010211.WAV,HE PLEADED GUILTY ON TUESDAY TO TWO OUT OF FOUR CHARGES
IMDA_TIL/audio/000010212.WAV,HYPE RECORDS WHICH MANAGES HER CONFIRMED THAT SHE WOULD BE ATTENDING THE CEREMONY AS PLANNED
IMDA_TIL/audio/000010213.WAV,DONT DIVIDE YOURSELF ON RELIGIOUS AND ETHNIC LINES AND RACIAL LINES AND DONT DISCRIMINATE AGAINST WOMEN
IMDA_TIL/audio/000010214.WAV,ITS THE BEST NEWS FOR MICHIGAN AUTO WORKERS IN A LONG TIME
IMDA_TIL/audio/000010215.WAV,IF WE DONT INVEST IN EDUCATION JUST ONE GENERATION WOULD DESTROY THE COUNTRY
IMDA_TIL/audio/000010217.WAV,EARNINGS CAN BE SUBSTANTIAL AND IT IS LITTLE WONDER THE SINGAPOREAN TISSUE PAPER SELLERS WANT TO GUARD THEIR TURF
IMDA_TIL/audio/000010219.WAV,LARGER AMOUNTS CAN ALSO BE DONATED BY SCANNING A Q R CODE ON THE POSTERS
IMDA_TIL/audio/000010220.WAV,COMMERCIAL TRADE IN SPECIES CAN ALSO BE A THREAT TO THEIR CONVERSATION AS THEY ARE COLLECTED IN HUGE VOLUMES
IMDA_TIL/audio/000010221.WAV,BUT INNOVATION IS NOT ALWAYS ABOUT AUTOMATION
IMDA_TIL/audio/000010222.WAV,BY THE LOOK ON ITS FACE WE THINK HE PRETTY MUCH KNOWS WHAT HAD HAPPENED
IMDA_TIL/audio/000010223.WAV,JUBILANT STAFF HANDED OUT COPIES OF THAT EDITION FOR FREE
IMDA_TIL/audio/000010224.WAV,I SHOULD THINK SO UNLESS HE DOESNT WANT ME TO
IMDA_TIL/audio/000010225.WAV,ACCORDING TO THEM SMOKE WAS COMING OUT FROM THE BONNET OF THE CAR
IMDA_TIL/audio/000010226.WAV,HE INSISTS HOWEVER THAT HE WAS NOT EMBARRASSED ABOUT HIS FAMILY OR HIS MOTHERS OCCUPATION
IMDA_TIL/audio/000010227.WAV,OUR BILATERAL RELATIONS ARE IN A VERY GOOD SHAPE
IMDA_TIL/audio/000010228.WAV,FOOD COURTS THEREFORE ARE POPULAR HUNTING GROUNDS
IMDA_TIL/audio/000010230.WAV,OTHERWISE TECHNOLOGY MAY VERY WELL LEAVE PEOPLE BEHIND
IMDA_TIL/audio/000010231.WAV,BECAUSE YOU HAVE NO IDEA WHAT YOU SAY OR DO WILL MAKE THEM THINK YOURE AN IDIOT
IMDA_TIL/audio/000010232.WAV,AT LEAST TWO WOMEN CONTACTED HIM AFTER THEY CAME ACROSS THE ADVERTISEMENTS
IMDA_TIL/audio/000010234.WAV,EIGHTEEN MILLION PEOPLE DIED OF HUNGER BECAUSE THEY WERE SUPPOSED TO MELT DOWN ALL KNIVES FORKS AND SPOONS
IMDA_TIL/audio/000010235.WAV,AFTER THAT INCIDENT THERES A GAP BETWEEN US
IMDA_TIL/audio/000010236.WAV,I HOPE THAT BY THE END OF SEPTEMBER I CAN CLIMB TO THE PEAK OF THE MOUNTAIN
IMDA_TIL/audio/000010237.WAV,A TORN MATTRESS WRAPPED IN CANVAS SHEETS SITS IN THE MIDDLE
IMDA_TIL/audio/000010238.WAV,A PARENT WHO DID NOT GIVE HIS NAME COMMENTED ON THE CHILDCARE CENTRE
IMDA_TIL/audio/000010240.WAV,CHINA HAS DONE EXTENSIVE RECLAMATION WORK BUILT RUNWAYS AND PORTS AND DEPLOYED SIGNIFICANT MILITARY ASSETS TO THE DISPUTED WATERS
IMDA_TIL/audio/000010241.WAV,BOSCH HAD NOTHING TO DO WITH THE ANIMAL EXPERIMENTS
IMDA_TIL/audio/000010242.WAV,OUR PIONEERS SHOWED AS WE CAN DO ANYTHING PROVIDED WE SET OUR MINDS TO IT
IMDA_TIL/audio/000010243.WAV,AT THE BAGGAGE COLLECTION AREA THEY WERE ENTERTAINED BY AN INSTRUMENTAL QUARTET AND ALSO TREATED TO COFFEE AND BREAKFAST
IMDA_TIL/audio/000010244.WAV,MORE CAN BE DONE TO MATCH PEOPLE TO THE RIGHT JOBS AS NEW INDUSTRIES AND NEW TYPES OF JOBS EMERGE
IMDA_TIL/audio/000010245.WAV,THEY HAVE ASKED FOR HIM TO VERIFY WHICH OF THE POSITIONS HE HAS DESCRIBED OF HIMSELF TO BE ACCURATE
IMDA_TIL/audio/000010246.WAV,HE CAME BY AND HIS PEOPLE EXPECTED HIM TO BE FIVE MINUTES
